timestamp,date,activity
5/19/2003 15:00,5/19/2003,7
5/19/2003 15:01,5/19/2003,8
5/19/2003 15:02,5/19/2003,7
5/19/2003 15:03,5/19/2003,8
5/19/2003 15:04,5/19/2003,7
5/19/2003 15:05,5/19/2003,8
5/19/2003 15:06,5/19/2003,8
5/19/2003 15:07,5/19/2003,7
5/19/2003 15:08,5/19/2003,8
5/19/2003 15:09,5/19/2003,8
5/19/2003 15:10,5/19/2003,8
5/19/2003 15:11,5/19/2003,8
5/19/2003 15:12,5/19/2003,8
5/19/2003 15:13,5/19/2003,8
5/19/2003 15:14,5/19/2003,8
5/19/2003 15:15,5/19/2003,8
5/19/2003 15:16,5/19/2003,8
5/19/2003 15:17,5/19/2003,8
5/19/2003 15:18,5/19/2003,8
5/19/2003 15:19,5/19/2003,8
5/19/2003 15:20,5/19/2003,8
5/19/2003 15:21,5/19/2003,8
5/19/2003 15:22,5/19/2003,8
5/19/2003 15:23,5/19/2003,8
5/19/2003 15:24,5/19/2003,8
5/19/2003 15:25,5/19/2003,8
5/19/2003 15:26,5/19/2003,8
5/19/2003 15:27,5/19/2003,8
5/19/2003 15:28,5/19/2003,8
5/19/2003 15:29,5/19/2003,13
5/19/2003 15:30,5/19/2003,8
5/19/2003 15:31,5/19/2003,8
5/19/2003 15:32,5/19/2003,8
5/19/2003 15:33,5/19/2003,8
5/19/2003 15:34,5/19/2003,8
5/19/2003 15:35,5/19/2003,8
5/19/2003 15:36,5/19/2003,8
5/19/2003 15:37,5/19/2003,8
5/19/2003 15:38,5/19/2003,8
5/19/2003 15:39,5/19/2003,8
5/19/2003 15:40,5/19/2003,8
5/19/2003 15:41,5/19/2003,8
5/19/2003 15:42,5/19/2003,8
5/19/2003 15:43,5/19/2003,13
5/19/2003 15:44,5/19/2003,8
5/19/2003 15:45,5/19/2003,8
5/19/2003 15:46,5/19/2003,8
5/19/2003 15:47,5/19/2003,8
5/19/2003 15:48,5/19/2003,8
5/19/2003 15:49,5/19/2003,8
5/19/2003 15:50,5/19/2003,8
5/19/2003 15:51,5/19/2003,8
5/19/2003 15:52,5/19/2003,8
5/19/2003 15:53,5/19/2003,8
5/19/2003 15:54,5/19/2003,8
5/19/2003 15:55,5/19/2003,8
5/19/2003 15:56,5/19/2003,8
5/19/2003 15:57,5/19/2003,8
5/19/2003 15:58,5/19/2003,30
5/19/2003 15:59,5/19/2003,8
5/19/2003 16:00,5/19/2003,73
5/19/2003 16:01,5/19/2003,8
5/19/2003 16:02,5/19/2003,8
5/19/2003 16:03,5/19/2003,264
5/19/2003 16:04,5/19/2003,17
5/19/2003 16:05,5/19/2003,8
5/19/2003 16:06,5/19/2003,8
5/19/2003 16:07,5/19/2003,8
5/19/2003 16:08,5/19/2003,8
5/19/2003 16:09,5/19/2003,8
5/19/2003 16:10,5/19/2003,8
5/19/2003 16:11,5/19/2003,8
5/19/2003 16:12,5/19/2003,7
5/19/2003 16:13,5/19/2003,8
5/19/2003 16:14,5/19/2003,8
5/19/2003 16:15,5/19/2003,7
5/19/2003 16:16,5/19/2003,8
5/19/2003 16:17,5/19/2003,7
