,Max,mean,median,SD,Var,Id
0,23739,9374.833333333334,6945.0,8838.53975086022,78119784.92753623,condition
1,43085,15578.708333333334,17514.0,12469.206116353256,155481101.17210144,condition
2,62600,16584.833333333332,15955.5,16121.69582100244,259909076.14492756,condition
3,46288,14892.708333333334,12806.5,13139.484304218226,172646047.7807971,condition
4,62282,11670.625,7848.5,14530.252611025639,211128240.9402174,condition
5,39950,11082.291666666666,6345.0,11358.70908341554,129020272.0416667,condition
6,34775,15439.791666666666,14979.5,12895.015889125423,166281434.78079712,condition
7,43606,13314.625,7409.0,13764.595490866192,189464089.0271739,condition
8,35718,9887.791666666666,9064.5,9103.586550648317,82875288.0851449,condition
9,66345,25587.875,29291.5,20411.586880585637,416632878.9836956,condition
10,33358,7794.541666666667,2019.5,10231.76950134351,104689107.1286232,condition
11,22022,7007.666666666667,4895.0,6337.409069181579,40162753.71014493,condition
12,42822,17613.375,19109.5,13120.25895095891,172141194.9402174,condition
13,44674,8611.208333333334,5329.5,11016.785457849099,121369561.82427539,condition
14,43040,10538.375,10085.0,10031.01371101905,100621236.07065217,condition
15,62498,21063.458333333332,10967.5,23307.109986251664,543221375.9112321,condition
16,14043,5025.958333333333,3737.5,4516.900875592416,20402393.519927535,condition
17,7979,3401.75,2780.0,2243.9261060839813,5035204.369565218,condition
18,28442,9086.958333333334,7528.5,7889.3387967789995,62241666.65036231,condition
19,16830,4303.375,2024.5,5073.243476810471,25737799.375,condition
20,26647,4504.833333333333,541.0,8087.679941774384,65410566.8405797,condition
21,20727,8143.625,4336.0,7921.304596178257,62747066.50543478,condition
22,42622,10706.083333333334,5125.0,11717.345711145199,137296190.51449278,condition
