,Max,mean,median,SD,Var,Id
0,54521,13861.005952380952,12266.0,11747.49699088544,138003685.55086246,control
1,99624,24018.785714285714,19342.0,23333.706844209966,544461875.091531,control
2,65015,15718.172619047618,17154.0,12782.930345407238,163403308.2155332,control
3,51640,11479.386904761905,7657.5,12202.98895648778,148912939.47216272,control
4,55847,19144.875,19284.5,15591.658523813418,243099815.52320358,control
5,89281,21227.45238095238,19321.5,18038.86473511708,325400640.9318506,control
6,80940,23807.39285714286,21518.5,20294.551394102135,411868816.28785294,control
7,62050,24635.208333333332,28129.0,15736.016051843695,247622201.18388245,control
8,32071,8124.291666666667,4863.0,8287.858849162596,68688604.30364276,control
9,66357,16161.035714285714,9275.5,17882.722528090646,319791765.01668066,control
10,78434,11383.559523809523,8907.0,12050.32389790166,145210306.04433987,control
11,41424,9959.511904761905,8348.5,9300.188371660028,86493503.74836041,control
12,51982,11697.89880952381,8672.5,10842.256157944692,117554518.59448957,control
13,122698,23148.083333333332,16344.0,22755.864836829554,517829384.4720558,control
14,60783,17871.470238095237,18348.0,14970.19752265722,224106813.86737233,control
15,75061,15869.517857142857,15380.0,12810.115466892888,164099058.2751284,control
16,63171,14794.738095238095,13991.5,12360.450942415384,152780747.49985734,control
17,83756,16618.196428571428,15584.5,14720.586990891168,216695681.3563943,control
18,61059,13977.910714285714,13319.5,12839.570924719506,164854581.53090253,control
19,73420,22573.52380952381,22471.0,18906.133516674632,357441884.5503279,control
20,55350,15737.261904761905,13698.0,12649.182994249592,160001830.42201307,control
21,53599,15322.904761904761,14654.0,12613.28463835336,159094949.36812085,control
22,53065,12399.857142857143,12643.5,10349.162269481933,107105159.68006842,control
23,158689,25420.51785714286,22091.5,26323.79881558722,692942384.0835111,control
24,66173,21099.053571428572,19337.0,17149.8936189361,294118851.1408252,control
25,71170,23712.690476190477,25359.5,19030.638431886044,362165199.1251781,control
26,71197,17489.738095238095,14377.0,14865.638852127862,220987218.4818934,control
27,57561,17061.10119047619,15866.5,12122.99259394367,146966949.43281308,control
28,64800,16492.815476190477,15216.0,13950.130763939687,194606148.33101648,control
29,61616,13150.392857142857,11237.0,11620.814585955073,135043331.64114618,control
30,189645,19787.42261904762,15295.0,24701.797933665734,610178821.1556528,control
31,53177,8784.809523809523,4069.0,10377.704577546563,107696752.29883088,control
