,Max,mean,median,SD,Var,Id
0,99624.0,23803.813148788926,21592.5,22844.83691279603,520096248.6420915,control
0,65015.0,15985.249134948097,16791.5,13040.91498068525,169510790.74450746,control
0,69026.0,12480.743944636679,9156.5,13148.015909358059,172277843.75381458,control
0,55847.0,18815.84775086505,18331.5,16060.193225088757,257069423.88719854,control
0,89261.0,25121.70588235294,28083.0,18219.109607670212,330958933.64956206,control
0,88778.0,8741.048442906575,4322.0,11154.73465518051,124020720.72649501,control
0,68199.0,17704.93079584775,12951.0,17795.21285005928,315581427.62363696,control
0,78434.0,12368.09688581315,10569.5,12537.190041188707,156641097.98318607,control
0,42948.0,9467.958477508651,7006.5,9554.066421631742,90966538.20276555,control
0,51982.0,11530.775086505191,7187.5,11207.576294014194,125178443.15824206,control
0,122698.0,22677.256055363323,17394.5,21891.226971212483,477581013.47646844,control
0,61195.0,18163.961937716263,17565.5,15515.270311189775,239920372.53949872,control
0,75061.0,15023.086505190311,14541.0,12454.35979273302,154600618.06285813,control
0,63171.0,15157.415224913495,13860.0,13081.205793565841,170544609.9891358,control
0,83756.0,17790.58131487889,16525.5,15200.13062209192,230272909.26424307,control
0,61059.0,13908.269896193771,13105.5,12922.34791117839,166416547.09863126,control
0,109032.0,21858.813148788926,21974.906574394463,19621.562930233107,383699835.5860868,control
0,68598.0,16249.031141868512,13414.0,14053.892340994731,196849510.93428662,control
0,85806.0,16138.840830449826,15100.0,14171.370841435495,200150830.3689976,control
0,53065.0,11968.103806228373,11423.0,10582.535577455457,111611770.57377945,control
0,158689.0,23460.15224913495,20206.5,24802.475848563237,613055120.5636566,control
0,66173.0,19313.328719723184,17355.0,16545.234811672013,272830204.67822194,control
0,71170.0,22348.432525951557,22177.21626297578,17900.838282740886,319406568.35350597,control
0,71197.0,18751.723183391005,16279.5,15722.245271377646,246370804.21910605,control
0,77317.0,17750.923875432527,16527.0,13133.864327503414,171978485.48971474,control
0,64800.0,16869.98615916955,15355.5,14115.697173378101,198594070.53081626,control
0,85674.0,12751.81660899654,9742.5,13066.542498846262,170148178.14536157,control
0,62575.0,14057.923611111111,11651.0,13364.67066362867,178000122.3842122,control
0,89281.0,21930.40625,19173.0,19606.54034850538,383109256.9214341,control
0,240442.0,24665.493055555555,20276.0,29430.184857342865,863227616.8188865,control
0,189645.0,22498.98263888889,17641.0,24954.143018241968,620582978.2494026,control
0,53177.0,10409.635416666666,6304.0,11370.98190273163,128856640.15017617,control
